신호등_index,관리번호,관할구,주소,X좌표,Y좌표,교통사고,label,smart_label
23704,03-0000036688,중랑구,중랑구 면목동 1508대,207346.8941,553500.0599,402.8043584,1,0.451631159
23705,03-0000024451,중랑구,중랑구 면목동 1531 대,207366.3882,553885.0608,592.360907,0,0.327456807
23706,03-0000024452,중랑구,중랑구 면목동 1531 대,207368.3379,553870.5395,579.967731,0,0.385564206
23707,03-0000061498,중랑구,중랑구 면목동 221 학,207714.2375,554320.675,893.1436671,1,0.796110271
23708,03-0000031555,중랑구,중랑구 면목동 1507-2 도,207393.1586,553886.5868,576.9146823,0,0.326718504
23709,03-0000024458,중랑구,중랑구 면목동 1507-2 도,207391.1827,553872.1461,566.7289346,0,0.363487566
23710,03-0000044477,중랑구,중랑구 묵동 189-2도,206702.31,556909.3363,297.403769,0,0.378773625
23711,03-0000024469,중랑구,중랑구 묵동 167대,206791.6611,557184.7095,285.8684248,1,0.578613045
23712,03-0000046932,중랑구,중랑구 묵동 322-2제,206919.9113,557283.7534,312.0064263,0,0.42900726
23713,03-0000024252,중랑구,중랑구 묵동 189-1도,206725.4387,557332.425,441.3967689,1,0.694718173
23714,03-0000024247,중랑구,중랑구 묵동 678-1도,206751.3896,557316.1637,412.9332573,1,0.670119837
23715,03-0000061010,중랑구,중랑구 중화동 산8임,207383.9,555805.0812,718.7110024,0,0.326397264
23716,03-0000033587,중랑구,중랑구 면목동 477-22대,208256.2451,554532.2294,829.0087223,0,0.404170256
23717,03-0000023767,중랑구,중랑구 망우동 534-31도,208291.2191,554484.0858,888.2405294,0,0.542136335
23718,03-0000023768,중랑구,중랑구 망우동 522-1대,208279.089,554489.7226,877.2359632,1,0.570083324
23719,03-0000023770,중랑구,중랑구 면목동 522-12대,208281.6125,554490.4812,877.8528316,1,0.569479694
23720,03-0000023766,중랑구,중랑구 면목동 522-4대,208287.925,554460.6437,906.8413196,1,0.540424293
23721,03-0000004222,중랑구,중랑구 면목동 522-15대,208252.9125,554453.9562,895.9111059,1,0.564448575
23722,03-0000036638,중랑구,중랑구 면목동 522-11도,208265.7722,554452.9662,902.81036,1,0.540662044
23723,03-0000050127,중랑구,중랑구 면목동 282-5도,207616.5125,554273.0312,854.4740438,0,0.44430564
23724,03-0000056090,중랑구,중랑구 면목동 49-28도,208367.9564,553984.78,836.8523909,0,0.451095963
23725,03-0000052288,중랑구,중랑구 면목동 566-6대,207540.7875,553507.6812,217.5318562,0,0.357404463
23726,03-0000051970,중랑구,중랑구 면목동 608도,207538.5182,553481.2779,211.502714,0,0.376149722
23727,03-0000051975,중랑구,중랑구 면목동 570공,207649.7532,553468.7305,101.9381238,0,0.434985431
23728,03-0000023992,중랑구,중랑구 면목동 428-63도,207806.54,553477.8377,80.59526833,0,0.456705054
23729,03-0000053870,중랑구,중랑구 면목동 428-67대,207835.1588,553472.9111,102.3387733,1,0.789935287
23730,03-0000036683,중랑구,중랑구 면목동 428-67대,207835.1588,553472.9111,102.3387733,1,0.789935287
23731,03-0000070396,중랑구,중랑구 면목동 458-93대,207796.6492,553452.3121,58.71782134,0,0.451067228
23732,03-0000047812,중랑구,중랑구 면목동 458-88대,207806.2875,553449.5375,66.66160072,1,0.674478181
23733,03-0000056003,중랑구,중랑구 묵동 81-21잡,207191.85,557221.1187,313.6875806,0,0.308139173
23734,03-0000046481,중랑구,중랑구 묵동 11학,207521.0594,557310.7214,624.6042087,0,0.30705922
23735,03-0000076051,중랑구,중랑구 묵동 20대,207706.2185,557343.3607,802.0510987,1,0.521220777
23736,03-0000046747,중랑구,중랑구 신내동 ,209236.4389,557776.0623,2382.18744,0,0.387124735
23737,03-0000043664,중랑구,중랑구 신내동 ,209247.9667,557755.2984,2386.228749,0,0.410946832
23738,03-0000023477,중랑구,중랑구 신내동 278-33 도,208943.4,557170.2062,1961.445457,0,0.378006845
23739,03-0000048539,중랑구,중랑구 신내동 278-49 도,208936.3875,557154.7812,1953.025326,0,0.38737092
23740,03-0000061501,중랑구,중랑구 면목동 221 학,207730.7578,554304.5232,876.6104515,1,0.822047697
23741,03-0000024053,중랑구,중랑구 신내동 335-24대,208933.7798,556561.6942,1472.626006,0,0.199746121
23742,03-0000056476,중랑구,중랑구 신내동 335-27전,208907.2896,556559.4234,1475.076158,0,0.223156077
23743,03-0000024059,중랑구,중랑구 신내동 335-25대,208905.6821,556553.0267,1469.091823,0,0.243709171
23744,03-0000046469,중랑구,중랑구 신내동 338-3 대,208925.5349,556397.4144,1312.55327,0,0.341545759
23745,03-0000046471,중랑구,중랑구 신내동 338-18 대,208904.834,556398.138,1317.449535,0,0.367467191
23746,03-0000055280,중랑구,중랑구 신내동 ,208923.6125,556247.2375,1166.043278,0,0.344904468
23747,03-0000044872,중랑구,중랑구 망우동 산36-5임,209612.3495,556175.972,1149.861718,0,0.295290734
23748,03-0000044870,중랑구,중랑구 망우동 산39-15 임,209725.4738,556002.4564,1045.327075,0,0.274109516
23749,03-0000044868,중랑구,중랑구 망우동 산39-43 임,209713.0659,555989.5188,1027.82832,0,0.270741291
23750,03-0000044862,중랑구,중랑구 망우동 92-70도,209828.4259,555833.7106,970.9042494,0,0.316050249
23751,03-0000044864,중랑구,중랑구 망우동 92-88 대,209810.9843,555831.9423,958.0321962,0,0.331562024
23752,03-0000031547,중랑구,중랑구 망우동 537-17 도,208883.0473,555612.8403,584.5874913,1,0.621902582
23753,03-0000062414,중랑구,중랑구 면목동 529-115대,208328.4839,554285.5406,1038.233952,0,0.318626809
23754,03-0000062415,중랑구,중랑구 면목동 534-32도,208312.918,554270.0834,1016.700437,0,0.309702745
23755,03-0000062488,중랑구,중랑구 면목동 1247-1대,207942.7625,554365.4062,888.7889892,0,0.374673596
23756,03-0000062427,중랑구,중랑구 면목동 1248-1 도,207946.85,554386.7062,868.1441443,0,0.403739787
23757,03-0000062486,중랑구,중랑구 면목동 88-52대,208093.898,554408.3901,877.7399576,0,0.501796848
23758,03-0000075233,중랑구,중랑구 상봉동 496 대,207757.131,555288.1181,90.27317305,1,0.662339301
23759,03-0000023699,중랑구,중랑구 묵동 51-1잡,207984.8996,557559.9867,1150.577153,1,0.871262305
23760,03-0000023697,중랑구,중랑구 신내동 51-1잡,207996.3371,557544.9867,1153.04593,1,0.872228427
23761,03-0000023687,중랑구,중랑구 신내동 51-1잡,208017.4,557578.0937,1187.773927,1,0.825240352
23762,03-0000021648,중랑구,중랑구 신내동 55-1대,208252.2491,557451.239,1346.222847,1,0.651534006
